epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.65638,2.59498,5.39162,1.69199,0.00311,0.93333,0.0052,0.00243,1.48539,4.25349,1.00054,0.0003,0.0003,0.0003
2,12.1462,1.62313,3.44725,1.10279,0.00311,0.93333,0.00415,0.00166,1.47247,4.19685,1.21657,0.000616931,0.000616931,0.000616931
3,16.7148,1.66775,2.90604,1.13454,0.00256,0.76667,0.00276,0.00113,1.60796,4.22336,1.19309,0.000930694,0.000930694,0.000930694
4,20.8691,1.69821,2.59285,1.13578,0.00289,0.86667,0.00409,0.002,1.63896,3.88843,1.39424,0.00124129,0.00124129,0.00124129
5,25.3341,1.59765,2.64914,1.12808,0.00289,0.86667,0.00483,0.00239,1.67117,3.99253,1.79084,0.00154872,0.00154872,0.00154872
6,29.6757,1.68191,2.41004,1.16853,0.00267,0.8,0.03797,0.01043,1.79309,3.68969,1.64825,0.00185297,0.00185297,0.00185297
7,34.3928,1.4803,2.25914,1.12563,0.5569,0.26667,0.39518,0.1954,1.62582,2.98849,1.39892,0.0019406,0.0019406,0.0019406
8,38.6975,1.62231,2.36145,1.15806,0.55268,0.36667,0.46823,0.23723,1.62059,2.85079,1.40439,0.0019307,0.0019307,0.0019307
9,43.0954,1.64716,2.22067,1.12235,0.61873,0.54115,0.69212,0.3226,1.69691,2.28749,1.4703,0.0019208,0.0019208,0.0019208
10,47.2383,1.4431,1.90601,1.05726,0.67549,0.48607,0.53362,0.26256,1.67353,2.14973,1.3363,0.0019109,0.0019109,0.0019109
11,51.6407,1.54635,2.02946,1.1446,0.51639,0.53333,0.45287,0.25097,1.60942,2.20116,1.2873,0.001901,0.001901,0.001901
12,56.0612,1.56914,1.93449,1.12409,0.49077,0.7,0.57598,0.31984,1.65252,1.87605,1.36244,0.0018911,0.0018911,0.0018911
13,60.2235,1.53398,1.82907,1.10304,0.593,0.6,0.5645,0.23551,1.84404,2.16194,1.40848,0.0018812,0.0018812,0.0018812
14,64.5307,1.536,1.85938,1.11771,0.67123,0.7,0.5948,0.30385,1.68819,1.9986,1.39826,0.0018713,0.0018713,0.0018713
15,68.6344,1.42035,1.79496,1.08332,0.67012,0.6,0.62153,0.3201,1.63247,1.87407,1.33468,0.0018614,0.0018614,0.0018614
16,72.7897,1.51258,1.71799,1.04842,0.69486,0.53143,0.55249,0.27746,1.69462,1.86402,1.40364,0.0018515,0.0018515,0.0018515
17,77.0052,1.44912,1.68955,1.0605,0.6551,0.6,0.61437,0.30706,1.73178,1.81538,1.40253,0.0018416,0.0018416,0.0018416
18,81.2984,1.38413,1.5906,1.08142,0.84121,0.56667,0.71071,0.42736,1.41144,1.61237,1.23644,0.0018317,0.0018317,0.0018317
19,85.6722,1.46491,1.63101,1.12364,0.66846,0.76667,0.72425,0.34049,1.63568,1.65515,1.31295,0.0018218,0.0018218,0.0018218
20,90.1552,1.38122,1.54304,1.05364,0.78187,0.63333,0.67701,0.38046,1.51935,1.634,1.29044,0.0018119,0.0018119,0.0018119
21,94.3835,1.36143,1.43515,1.03726,0.77743,0.5,0.47068,0.21258,1.92217,2.19951,1.387,0.001802,0.001802,0.001802
22,98.5791,1.36443,1.44132,1.02881,0.71726,0.73333,0.7717,0.39832,1.73191,1.47188,1.30795,0.0017921,0.0017921,0.0017921
23,102.846,1.35531,1.39103,1.03676,0.75859,0.7,0.73409,0.32347,2.0237,1.57039,1.50888,0.0017822,0.0017822,0.0017822
24,107.198,1.35689,1.32745,1.05194,0.84581,0.73145,0.78918,0.52808,1.31183,1.61184,1.17036,0.0017723,0.0017723,0.0017723
25,111.276,1.36758,1.38958,1.03036,0.73527,0.76667,0.79879,0.43991,1.57849,1.52282,1.3205,0.0017624,0.0017624,0.0017624
26,115.513,1.44523,1.36712,1.07659,0.80884,0.73333,0.75323,0.44258,1.48076,1.3547,1.24935,0.0017525,0.0017525,0.0017525
27,119.774,1.3967,1.43395,0.99754,0.78358,0.76667,0.75389,0.49221,1.36005,1.44,1.15155,0.0017426,0.0017426,0.0017426
28,124.075,1.34185,1.33879,1.06541,0.76327,0.85994,0.83735,0.49741,1.44401,1.25619,1.17531,0.0017327,0.0017327,0.0017327
29,128.263,1.3098,1.2486,1.00013,0.88457,0.8,0.81068,0.5177,1.4357,1.25155,1.19652,0.0017228,0.0017228,0.0017228
30,132.413,1.30716,1.25393,1.04905,0.63915,0.86667,0.78369,0.46047,1.48057,1.4236,1.14739,0.0017129,0.0017129,0.0017129
31,136.657,1.32172,1.27972,1.03384,0.70137,0.76667,0.82257,0.49107,1.44647,1.14799,1.10515,0.001703,0.001703,0.001703
32,140.911,1.26877,1.18577,1.01942,0.86106,0.62011,0.74762,0.3578,1.72236,1.27641,1.24776,0.0016931,0.0016931,0.0016931
33,145.058,1.24923,1.11877,1.01461,0.76838,0.73333,0.73765,0.44279,1.3909,1.27136,1.15385,0.0016832,0.0016832,0.0016832
34,149.313,1.27734,1.15311,1.02252,0.78089,0.83162,0.75632,0.43829,1.47425,1.3224,1.19314,0.0016733,0.0016733,0.0016733
35,153.31,1.34996,1.20789,1.04495,0.60208,0.83333,0.72882,0.39206,1.55629,1.40287,1.23979,0.0016634,0.0016634,0.0016634
36,157.547,1.32813,1.12464,1.00338,0.74603,0.88146,0.86238,0.54414,1.27487,1.17314,1.15252,0.0016535,0.0016535,0.0016535
37,161.741,1.20153,1.15652,0.98138,0.73638,0.74512,0.78995,0.44188,1.55444,1.21418,1.2525,0.0016436,0.0016436,0.0016436
38,165.934,1.27071,1.1603,1.0213,0.72672,0.73333,0.7833,0.50794,1.31206,1.13768,1.13599,0.0016337,0.0016337,0.0016337
39,170.079,1.22004,1.07549,1.02779,0.80618,0.8,0.87212,0.49752,1.50803,1.02601,1.21256,0.0016238,0.0016238,0.0016238
40,174.208,1.20664,1.08618,1.00312,0.80277,0.86667,0.85184,0.50437,1.42166,1.11102,1.16253,0.0016139,0.0016139,0.0016139
41,178.584,1.16577,1.05533,0.99972,0.73824,0.8,0.82067,0.41657,1.52803,1.13732,1.19997,0.001604,0.001604,0.001604
42,182.902,1.1686,0.98036,0.98609,0.95629,0.72941,0.85945,0.41733,1.61779,1.14815,1.26212,0.0015941,0.0015941,0.0015941
43,187.1,1.21214,1.00288,0.97753,0.91826,0.74925,0.83706,0.31936,1.94393,1.32829,1.4405,0.0015842,0.0015842,0.0015842
44,191.191,1.26909,1.04968,1.01816,1,0.66635,0.83596,0.45129,1.60694,1.12819,1.26893,0.0015743,0.0015743,0.0015743
45,195.321,1.23707,1.03279,1.02005,0.85015,0.75674,0.83841,0.45727,1.53357,1.26872,1.20934,0.0015644,0.0015644,0.0015644
46,199.498,1.14829,1.05908,0.98568,0.82196,0.66667,0.78941,0.38083,1.70298,1.21551,1.3339,0.0015545,0.0015545,0.0015545
47,203.746,1.17239,1.0019,0.9943,0.81811,0.8,0.85037,0.48716,1.50811,1.12559,1.25335,0.0015446,0.0015446,0.0015446
48,207.889,1.16803,0.99651,0.99548,0.8017,0.80876,0.86218,0.52897,1.41061,1.22497,1.20374,0.0015347,0.0015347,0.0015347
49,212.08,1.14575,0.96109,0.96223,0.78282,0.84124,0.85138,0.41029,1.70084,1.14129,1.30998,0.0015248,0.0015248,0.0015248
